Title,Release Year,Genre,IMDB Rating,Streaming Platform,Page URL
12th Fail,2023,['Drama'],9.2,,https://www.justwatch.com/in/movie/12th-fail
Oppenheimer,2023,"['Drama', ' History']",8.4,,https://www.justwatch.com/in/movie/oppenheimer
Leo,2023,"['Mystery & Thriller', ' Crime', ' Drama', ' Action & Adventure']",7.3,['Netflix'],https://www.justwatch.com/in/movie/leo-2023
Tiger 3,2023,"['Mystery & Thriller', ' Action & Adventure']",7.0,,https://www.justwatch.com/in/movie/tiger-3
Jawan,2023,"['Action & Adventure', ' Mystery & Thriller']",7.0,['Netflix'],https://www.justwatch.com/in/movie/jawan
Jigarthanda Double X,2023,"['Drama', ' Action & Adventure', ' Comedy']",8.1,"['Netflix', 'Sun Nxt']",https://www.justwatch.com/in/movie/jigarthanda-doublex
Mission Raniganj,2023,"['Drama', ' History', ' Mystery & Thriller', ' Action & Adventure']",7.3,['Netflix'],https://www.justwatch.com/in/movie/the-great-indian-rescue
The Kerala Story,2023,['Drama'],7.2,,https://www.justwatch.com/in/movie/the-kerala-story
Killers of the Flower Moon,2023,"['Drama', ' History', ' Crime', ' Romance', ' Western']",7.8,,https://www.justwatch.com/in/movie/killers-of-the-flower-moon
Ghoomer,2023,"['Drama', ' Sport']",7.8,['Zee5'],https://www.justwatch.com/in/movie/ghoomer
Mission: Impossible - Dead Reckoning Part One,2023,"['Action & Adventure', ' Mystery & Thriller']",7.8,,https://www.justwatch.com/in/movie/mission-impossible-7
Chithha,2023,"['Mystery & Thriller', ' Drama']",8.3,['Hotstar'],https://www.justwatch.com/in/movie/chittha
Sam Bahadur,2023,"['Drama', ' War & Military', ' History']",8.2,,https://www.justwatch.com/in/movie/sam-bahadur
Kannur Squad,2023,"['Crime', ' Drama', ' Mystery & Thriller', ' Action & Adventure']",7.8,['Hotstar'],https://www.justwatch.com/in/movie/kannur-squad
Garudan,2023,"['Mystery & Thriller', ' Drama', ' Crime']",7.4,['Amazon Prime Video'],https://www.justwatch.com/in/movie/garudan-2023
800,2023,"['Sport', ' Drama']",7.8,['Amazon Prime Video'],https://www.justwatch.com/in/movie/800
Godzilla Minus One,2023,"['Science-Fiction', ' Horror', ' Action & Adventure', ' Drama']",8.4,,https://www.justwatch.com/in/movie/godzilla-minus-one
Toby,2023,"['Action & Adventure', ' Mystery & Thriller', ' Drama', ' Crime']",7.7,['Sony Liv'],https://www.justwatch.com/in/movie/toby
Past Lives,2023,"['Drama', ' Romance']",8.0,['Lionsgate Play'],https://www.justwatch.com/in/movie/past-lives
OMG 2,2023,"['Comedy', ' Drama']",7.6,['Netflix'],https://www.justwatch.com/in/movie/omg-2
K.G.F: Chapter 2,2022,"['Drama', ' Mystery & Thriller', ' Action & Adventure', ' Crime']",8.3,['Amazon Prime Video'],https://www.justwatch.com/in/movie/k-g-f-chapter-2
Dunki,2023,"['Comedy', ' Drama']",7.9,,https://www.justwatch.com/in/movie/dunki
Jailer,2023,"['Action & Adventure', ' Mystery & Thriller', ' Comedy', ' Crime']",7.1,"['Amazon Prime Video', 'Sun Nxt']",https://www.justwatch.com/in/movie/jailer
Gran Turismo,2023,"['Action & Adventure', ' Drama', ' Sport']",7.2,['Netflix'],https://www.justwatch.com/in/movie/gran-turismo
Pushpa: The Rise - Part 1,2021,"['Drama', ' Mystery & Thriller', ' Action & Adventure', ' Crime']",7.6,['Amazon Prime Video'],https://www.justwatch.com/in/movie/pushpa
Talk to Me,2023,"['Mystery & Thriller', ' Horror']",7.1,,https://www.justwatch.com/in/movie/talk-to-me-2022
777 Charlie,2022,"['Comedy', ' Drama', ' Action & Adventure']",8.8,"['Voot', 'Jio Cinema']",https://www.justwatch.com/in/movie/777-charlie
Mangalavaaram,2023,"['Action & Adventure', ' Horror', ' Mystery & Thriller']",7.0,,https://www.justwatch.com/in/movie/mangalavaram
The Vaccine War,2023,"['Drama', ' Mystery & Thriller']",7.6,,https://www.justwatch.com/in/movie/the-vaccine-war
Kadak Singh,2023,"['Mystery & Thriller', ' Drama']",7.1,['Zee5'],https://www.justwatch.com/in/movie/kadak-singh
Dada,2023,"['Drama', ' Comedy', ' Kids & Family', ' Romance']",8.2,['Amazon Prime Video'],https://www.justwatch.com/in/movie/dada-2023
Anatomy of a Fall,2023,"['Drama', ' Mystery & Thriller', ' Crime']",7.8,,https://www.justwatch.com/in/movie/anatomie-dune-chute
Month of Madhu,2023,"['Drama', ' Romance']",7.9,"['Amazon Prime Video', 'aha']",https://www.justwatch.com/in/movie/month-of-madhu
Saltburn,2023,"['Comedy', ' Mystery & Thriller', ' Drama']",7.3,,https://www.justwatch.com/in/movie/saltburn
Minus 31: The Nagpur Files,2023,"['Mystery & Thriller', ' Music & Musical', ' Crime']",7.7,['Amazon Prime Video'],https://www.justwatch.com/in/movie/minus-31-the-nagpur-files
May December,2023,"['Drama', ' Comedy']",7.0,,https://www.justwatch.com/in/movie/may-december
Yaariyan 2,2023,"['Drama', ' Romance', ' Comedy']",7.9,,https://www.justwatch.com/in/movie/yaariyan-2
John Wick: Chapter 4,2023,"['Crime', ' Action & Adventure', ' Mystery & Thriller']",7.7,['Lionsgate Play'],https://www.justwatch.com/in/movie/john-wick-chapter-4
Top Gun: Maverick,2022,"['Action & Adventure', ' Drama']",8.3,['Netflix'],https://www.justwatch.com/in/movie/top-gun-maverick
Spider-Man: Across the Spider-Verse,2023,"['Action & Adventure', ' Science-Fiction', ' Animation', ' Kids & Family', ' Fantasy', ' Comedy']",8.6,['Netflix'],https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2
Hi Nanna,2023,"['Romance', ' Drama', ' Kids & Family']",8.4,,https://www.justwatch.com/in/movie/nani30
Shiddat,2021,"['Romance', ' Drama']",7.6,['Hotstar'],https://www.justwatch.com/in/movie/shiddat-2021
Maa Oori Polimera 2,2023,"['Horror', ' Crime', ' Mystery & Thriller']",7.1,,https://www.justwatch.com/in/movie/maa-oori-polimera-2
