Title,Release Year,Genre,IMDB Rating,Streaming Platform,Page URL
The Railway Men - The Untold Story of Bhopal 1984,2023,"['Drama', ' History', ' Mystery & Thriller']",8.5,['Netflix'],https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984
Reacher,2022,"['Action & Adventure', ' Crime', ' Drama', ' Mystery & Thriller']",8.1,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/jack-reacher
Dhootha,2023,"['Drama', ' Mystery & Thriller', ' Crime']",7.9,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/dhootha
The Freelancer,2023,"['Action & Adventure', ' Mystery & Thriller', ' Drama']",8.2,['Hotstar'],https://www.justwatch.com/in/tv-show/the-freelancer
Monarch: Legacy of Monsters,2023,"['Science-Fiction', ' Action & Adventure', ' Drama']",7.0,['Apple TV Plus'],https://www.justwatch.com/in/tv-show/monarch-legacy-of-monsters
My Demon,2023,"['Science-Fiction', ' Comedy', ' Drama', ' Fantasy', ' Romance']",8.2,['Netflix'],https://www.justwatch.com/in/tv-show/my-demon
Loki,2021,"['Fantasy', ' Science-Fiction', ' Action & Adventure', ' Drama']",8.2,['Hotstar'],https://www.justwatch.com/in/tv-show/loki
Farzi,2023,"['Drama', ' Crime', ' Mystery & Thriller']",8.4,['Amazon Prime Video'],https://www.justwatch.com/in/tv-show/farzi
A Murder at the End of the World,2023,"['Mystery & Thriller', ' Drama', ' Crime']",7.2,['Hotstar'],https://www.justwatch.com/in/tv-show/a-murder-at-the-end-of-the-world
Tulsa King,2022,"['Crime', ' Drama']",8.0,['Jio Cinema'],https://www.justwatch.com/in/tv-show/tulsa-king
Scam 2003: The Telgi Story,2023,"['Drama', ' Crime']",8.0,['Sony Liv'],https://www.justwatch.com/in/tv-show/scam-2003-the-telgi-story
Kaala Paani,2023,"['Mystery & Thriller', ' Drama']",8.0,['Netflix'],https://www.justwatch.com/in/tv-show/kaala-paani
What If...?,2021,"['Science-Fiction', ' Animation', ' Action & Adventure']",7.5,['Hotstar'],https://www.justwatch.com/in/tv-show/what-if-2021
The Last of Us,2023,"['Drama', ' Horror', ' Science-Fiction', ' Mystery & Thriller', ' Action & Adventure']",8.8,['Jio Cinema'],https://www.justwatch.com/in/tv-show/the-last-of-us
Yellowjackets,2021,"['Drama', ' Horror', ' Mystery & Thriller']",7.8,"['Jio Cinema', 'Netflix', 'Voot']",https://www.justwatch.com/in/tv-show/yellowjackets
Aspirants:Season2,2021,['Drama'],9.2,"['Amazon Prime Video', 'Amazon miniTV']",https://www.justwatch.com/in/tv-show/aspirants
Campus Beats,2023,['Drama'],7.1,['Amazon miniTV'],https://www.justwatch.com/in/tv-show/campus-beats
Single's Inferno,2021,['Reality TV'],7.2,['Netflix'],https://www.justwatch.com/in/tv-show/singles-inferno
